epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.2020,0.5608,0.8663,0.6816
2,0.6816,0.7655,0.9621,0.6710
3,0.3099,0.9051,1.0855,0.6792
4,0.1418,0.9571,1.2407,0.6898
5,0.0622,0.9841,1.4113,0.6931
6,0.0430,0.9884,1.4495,0.6890
7,0.0265,0.9929,1.5158,0.7004
