epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.2278,0.5514,0.9095,0.6776
2,0.6792,0.7682,0.8828,0.6922
3,0.3294,0.8967,1.0791,0.6759
4,0.1273,0.9629,1.2289,0.6849
5,0.0655,0.9820,1.3353,0.6931
6,0.0385,0.9910,1.3817,0.7029
7,0.0300,0.9929,1.4625,0.7004
8,0.0175,0.9949,1.5663,0.7037
