epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.2156,0.5627,0.8682,0.6906
2,0.6635,0.7771,0.8854,0.6939
3,0.3032,0.9088,1.2488,0.6490
4,0.1258,0.9659,1.2613,0.6849
5,0.0710,0.9804,1.4506,0.6694
6,0.0404,0.9886,1.5195,0.6694
7,0.0347,0.9896,1.5756,0.6816
