epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.1926,0.5713,0.8732,0.6917
2,0.677,0.7645,0.9038,0.6721
3,0.3431,0.8931,1.0882,0.6623
4,0.1484,0.9572,1.2391,0.6852
5,0.0697,0.98,1.4967,0.6509
6,0.0486,0.9864,1.529,0.6786
7,0.0267,0.9926,1.6255,0.6688
8,0.0175,0.9951,1.7064,0.6721
9,0.0137,0.9966,1.7064,0.6835
10,0.0106,0.9971,1.732,0.6949
11,0.0077,0.998,1.7587,0.6852
12,0.007,0.9978,1.7711,0.6917
