epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.9039,0.248,1.7891,0.3148
2,1.8478,0.2743,1.8485,0.3083
3,1.6178,0.3757,1.0602,0.6476
4,0.9908,0.6477,0.8169,0.6998
5,0.7548,0.7366,0.7466,0.7325
6,0.5773,0.8033,0.7794,0.7129
7,0.452,0.8489,0.7808,0.7308
8,0.3573,0.8857,0.8276,0.7374
