epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.4801,0.4566,1.0102,0.6378
2,0.9149,0.6687,0.9378,0.6705
3,0.6779,0.7654,0.9381,0.6721
4,0.4866,0.844,1.0244,0.6672
5,0.3335,0.9026,1.0764,0.6607
6,0.238,0.9343,1.1819,0.6525
7,0.1691,0.9545,1.1917,0.6672
8,0.1368,0.9683,1.2106,0.6558
