epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.3229,0.5034,0.9318,0.6493
2,0.8106,0.7056,0.877,0.6721
3,0.5157,0.8322,0.962,0.6835
4,0.2641,0.9251,1.11,0.677
5,0.1409,0.9641,1.3184,0.6525
6,0.0785,0.9826,1.4042,0.6623
7,0.0452,0.9926,1.4391,0.6542
8,0.0356,0.9937,1.4451,0.6591
